原体系,原二级,新体系,新一级,新二级,新三级
enabling,合成生物学,enabling,合成生物与生物制造,合成生物学（医药应用）,
enabling,纳米递送,drug,药物,药物递送技术,纳米递送
enabling,外泌体递送,drug,药物,药物递送技术,外泌体递送
enabling,实验信息管理,ai,计算与AI,数据与自动化,
enabling,智能实验室,ai,计算与AI,数据与自动化,
enabling,AI药物研发,ai,计算与AI,AI制药-分子层,
enabling,数字生命,ai,计算与AI,数字生命,
enabling,生物知识图谱,ai,计算与AI,知识图谱与RAG,
enabling,动物模型创新,enabling,生物技术与上游试剂耗材设备,模型系统与平台,
enabling,类器官与器官芯片,enabling,生物技术与上游试剂耗材设备,类器官与器官芯片,
enabling,临床试验数字化,service,医药研发服务,CRO-临床试验与运营,
enabling,医学影像AI,ai,计算与AI,临床AI与医疗大模型,
enabling,真实世界数据,ai,计算与AI,RWE/因果推断/HEOR,
drug,口服制剂技术,drug,药物,制剂技术,口服制剂
drug,复杂制剂,drug,药物,制剂技术,
service,医药供应链上游配套|三级:上游耗材配套,enabling,生物技术与上游试剂耗材设备,科研试剂耗材,
