tech_id,体系,一级,二级,三级,层级类型,别名,标准路径
TECH_DRUG_001,drug,药物,生物药-偶联药物,Fc偶联药物,药物研发与产品层,drug Fc conjugate,药物 > 生物药-偶联药物 > Fc偶联药物
TECH_DRUG_002,drug,药物,生物药-偶联药物,centyrin偶联寡核苷酸,药物研发与产品层,centyrin oligonucleotide conjugate; centyrin偶联小核酸; centyrin偶联寡核苷酸,药物 > 生物药-偶联药物 > centyrin偶联寡核苷酸
TECH_DRUG_003,drug,药物,生物药-偶联药物,probody-drug conjugate,药物研发与产品层,probody偶联药物,药物 > 生物药-偶联药物 > probody-drug conjugate
TECH_DRUG_004,drug,药物,生物药-偶联药物,多肽偶联核素,药物研发与产品层,peptide radionuclide conjugates; 多肽-放射性核素偶联药物; PRC,药物 > 生物药-偶联药物 > 多肽偶联核素
TECH_DRUG_005,drug,药物,生物药-偶联药物,多肽偶联药物,药物研发与产品层,peptide drug conjugate,药物 > 生物药-偶联药物 > 多肽偶联药物
TECH_DRUG_006,drug,药物,生物药-偶联药物,小分子偶联药物,药物研发与产品层,small molecule drug conjugate,药物 > 生物药-偶联药物 > 小分子偶联药物
TECH_DRUG_007,drug,药物,生物药-偶联药物,抗体偶联寡核苷酸,药物研发与产品层,antibody oligonucleotide conjugate; 抗体偶联小核酸,药物 > 生物药-偶联药物 > 抗体偶联寡核苷酸
TECH_DRUG_008,drug,药物,生物药-偶联药物,抗体偶联核素,药物研发与产品层,antibody radionuclide conjugates; 抗体核素偶联物,药物 > 生物药-偶联药物 > 抗体偶联核素
TECH_DRUG_009,drug,药物,生物药-偶联药物,抗体偶联药物,药物研发与产品层,antibody drug conjugate; 抗体药物偶联物; ADC,药物 > 生物药-偶联药物 > 抗体偶联药物
TECH_DRUG_010,drug,药物,生物药-偶联药物,蛋白偶联药物,药物研发与产品层,protein drug conjugate,药物 > 生物药-偶联药物 > 蛋白偶联药物
TECH_DRUG_011,drug,药物,生物药-偶联药物,适体偶联药物,药物研发与产品层,aptamer-drug conjugate; 核酸适体偶联药物,药物 > 生物药-偶联药物 > 适体偶联药物
TECH_DRUG_012,drug,药物,其他,5-HT重摄取抑制剂,药物研发与产品层,serotonin reuptake inhibitor; 5-羟色胺再摄取抑制剂,药物 > 其他 > 5-HT重摄取抑制剂
TECH_DRUG_013,drug,药物,其他,Apitope,药物研发与产品层,,药物 > 其他 > Apitope
TECH_DRUG_014,drug,药物,其他,CAR T engager,药物研发与产品层,,药物 > 其他 > CAR T engager
TECH_DRUG_015,drug,药物,其他,DUBTAC,药物研发与产品层,deubiquitinase targeting chimera; 去泛素化酶靶向嵌合体,药物 > 其他 > DUBTAC
TECH_DRUG_016,drug,药物,其他,HIV-1成熟抑制剂,药物研发与产品层,HIV-1 maturation inhibitor,药物 > 其他 > HIV-1成熟抑制剂
TECH_DRUG_017,drug,药物,其他,SURTAC,药物研发与产品层,,药物 > 其他 > SURTAC
TECH_DRUG_018,drug,药物,其他,TCR,药物研发与产品层,T细胞受体,药物 > 其他 > TCR
TECH_DRUG_019,drug,药物,其他,antagomir,药物研发与产品层,,药物 > 其他 > antagomir
TECH_DRUG_020,drug,药物,其他,centyrin,药物研发与产品层,,药物 > 其他 > centyrin
TECH_DRUG_021,drug,药物,其他,exon skipping drug,药物研发与产品层,外显子跳跃疗法,药物 > 其他 > exon skipping drug
TECH_DRUG_022,drug,药物,其他,spiegelmer,药物研发与产品层,L-RNA aptamer; 镜像适配体,药物 > 其他 > spiegelmer
TECH_DRUG_023,drug,药物,其他,translational read-through drug,药物研发与产品层,翻译通读药物,药物 > 其他 > translational read-through drug
TECH_DRUG_024,drug,药物,其他,γ-氨基丁酸重摄取抑制剂,药物研发与产品层,GABA uptake inhibitor,药物 > 其他 > γ-氨基丁酸重摄取抑制剂
TECH_DRUG_025,drug,药物,其他,三唑类抗真菌药,药物研发与产品层,triazole antifungal,药物 > 其他 > 三唑类抗真菌药
TECH_DRUG_026,drug,药物,其他,三环类抗抑郁药,药物研发与产品层,tricyclic antidepressant,药物 > 其他 > 三环类抗抑郁药
TECH_DRUG_027,drug,药物,其他,丝裂霉素,药物研发与产品层,mitomycin,药物 > 其他 > 丝裂霉素
TECH_DRUG_028,drug,药物,其他,人参皂苷类化合物,药物研发与产品层,ginsenoside,药物 > 其他 > 人参皂苷类化合物
TECH_DRUG_029,drug,药物,其他,修饰性肽配体,药物研发与产品层,altered peptide ligand,药物 > 其他 > 修饰性肽配体
TECH_DRUG_030,drug,药物,其他,光敏剂,药物研发与产品层,photosensitizer,药物 > 其他 > 光敏剂
TECH_DRUG_031,drug,药物,其他,光遗传学疗法,药物研发与产品层,optogenetic therapy,药物 > 其他 > 光遗传学疗法
TECH_DRUG_032,drug,药物,其他,免疫毒素,药物研发与产品层,immunotoxin,药物 > 其他 > 免疫毒素
TECH_DRUG_033,drug,药物,其他,全身吸入麻醉剂,药物研发与产品层,general inhalation anesthetic,药物 > 其他 > 全身吸入麻醉剂
TECH_DRUG_034,drug,药物,其他,分子伴侣,药物研发与产品层,chaperone; 侣伴蛋白; 伴护蛋白; 分子伴护蛋白,药物 > 其他 > 分子伴侣
TECH_DRUG_035,drug,药物,其他,分子胶,药物研发与产品层,molecular glue,药物 > 其他 > 分子胶
TECH_DRUG_036,drug,药物,其他,利福霉素类抗生素,药物研发与产品层,rifamycin antibiotic,药物 > 其他 > 利福霉素类抗生素
TECH_DRUG_037,drug,药物,其他,刺激性泻剂,药物研发与产品层,stimulant laxative,药物 > 其他 > 刺激性泻剂
TECH_DRUG_038,drug,药物,其他,剪接调节剂,药物研发与产品层,splicing modulator,药物 > 其他 > 剪接调节剂
TECH_DRUG_039,drug,药物,其他,剪接转换寡核苷酸,药物研发与产品层,splice-switching oligonucleotides; 剪接转换小核酸,药物 > 其他 > 剪接转换寡核苷酸
TECH_DRUG_040,drug,药物,其他,单环β-内酰胺类抗生素,药物研发与产品层,monobactam antibiotic,药物 > 其他 > 单环β-内酰胺类抗生素
TECH_DRUG_041,drug,药物,其他,博来霉素,药物研发与产品层,bleomycin,药物 > 其他 > 博来霉素
TECH_DRUG_042,drug,药物,其他,原小蘗碱,药物研发与产品层,protoberberine,药物 > 其他 > 原小蘗碱
TECH_DRUG_043,drug,药物,其他,去甲肾上腺素重摄取抑制剂,药物研发与产品层,norepinephrine reuptake inhibitor,药物 > 其他 > 去甲肾上腺素重摄取抑制剂
TECH_DRUG_044,drug,药物,其他,双抗原导向T细胞嵌合活化疗法,药物研发与产品层,TEAC,药物 > 其他 > 双抗原导向T细胞嵌合活化疗法
TECH_DRUG_045,drug,药物,其他,双胍类降糖药,药物研发与产品层,biguanide,药物 > 其他 > 双胍类降糖药
TECH_DRUG_046,drug,药物,其他,双膦酸盐,药物研发与产品层,bisphosphonate; drug,药物 > 其他 > 双膦酸盐
TECH_DRUG_047,drug,药物,其他,变应原提取物,药物研发与产品层,allergen extract; 过敏原提取物,药物 > 其他 > 变应原提取物
TECH_DRUG_048,drug,药物,其他,吗啉类抗真菌药,药物研发与产品层,morpholine antifungal,药物 > 其他 > 吗啉类抗真菌药
TECH_DRUG_049,drug,药物,其他,吡咯并苯二氮卓类抗生素,药物研发与产品层,pyrrolobenzodiazepine antibiotic,药物 > 其他 > 吡咯并苯二氮卓类抗生素
TECH_DRUG_050,drug,药物,其他,含氙造影剂,药物研发与产品层,Xenon-based contrast agent,药物 > 其他 > 含氙造影剂
TECH_DRUG_051,drug,药物,其他,含硼抗真菌药,药物研发与产品层,boron-based antifungal,药物 > 其他 > 含硼抗真菌药
TECH_DRUG_052,drug,药物,其他,含碘造影剂,药物研发与产品层,iodinated contrast agent,药物 > 其他 > 含碘造影剂
TECH_DRUG_053,drug,药物,其他,含钆造影剂,药物研发与产品层,gadolinium-based contrast agent,药物 > 其他 > 含钆造影剂
TECH_DRUG_054,drug,药物,其他,含锰造影剂,药物研发与产品层,manganese-based contrast agent,药物 > 其他 > 含锰造影剂
TECH_DRUG_055,drug,药物,其他,咪唑类抗真菌药,药物研发与产品层,imidazole antifungal,药物 > 其他 > 咪唑类抗真菌药
TECH_DRUG_056,drug,药物,其他,喜树碱,药物研发与产品层,camptothecin,药物 > 其他 > 喜树碱
TECH_DRUG_057,drug,药物,其他,喹诺酮类抗生素,药物研发与产品层,quinolone antibiotic,药物 > 其他 > 喹诺酮类抗生素
TECH_DRUG_058,drug,药物,其他,噁唑烷酮类抗生素,药物研发与产品层,oxazolidinone antibiotic,药物 > 其他 > 噁唑烷酮类抗生素
TECH_DRUG_059,drug,药物,其他,噬菌体疗法,药物研发与产品层,bacteriophages,药物 > 其他 > 噬菌体疗法
TECH_DRUG_060,drug,药物,其他,四唑类抗真菌药,药物研发与产品层,tetrazole antifungal,药物 > 其他 > 四唑类抗真菌药
TECH_DRUG_061,drug,药物,其他,四环素类抗生素,药物研发与产品层,tetracycline antibiotic,药物 > 其他 > 四环素类抗生素
TECH_DRUG_062,drug,药物,其他,埃博霉素,药物研发与产品层,epothilone,药物 > 其他 > 埃博霉素
TECH_DRUG_063,drug,药物,其他,多巴胺重摄取抑制剂,药物研发与产品层,dopamine reuptake inhibitor,药物 > 其他 > 多巴胺重摄取抑制剂
TECH_DRUG_064,drug,药物,其他,多粘菌素类抗生素,药物研发与产品层,polymyxin antibiotic,药物 > 其他 > 多粘菌素类抗生素
TECH_DRUG_065,drug,药物,其他,多肽类抗生素,药物研发与产品层,polypeptide; antibiotic,药物 > 其他 > 多肽类抗生素
TECH_DRUG_066,drug,药物,其他,多胺类似物,药物研发与产品层,polyamine analogue,药物 > 其他 > 多胺类似物
TECH_DRUG_067,drug,药物,其他,大环内酯类抗生素,药物研发与产品层,macrolide antibiotic,药物 > 其他 > 大环内酯类抗生素
TECH_DRUG_068,drug,药物,其他,大环多烯类抗真菌药,药物研发与产品层,macrocyclic polyene antifungal,药物 > 其他 > 大环多烯类抗真菌药
TECH_DRUG_069,drug,药物,其他,大麻素类药物,药物研发与产品层,cannabinoids,药物 > 其他 > 大麻素类药物
TECH_DRUG_070,drug,药物,其他,头孢菌素类抗生素,药物研发与产品层,cephalosporin antibiotic,药物 > 其他 > 头孢菌素类抗生素
TECH_DRUG_071,drug,药物,其他,容积性泻药,药物研发与产品层,osmotic laxative,药物 > 其他 > 容积性泻药
