关键词,体系,二级,三级
疫苗,drug,疫苗技术,
血液制品,drug,,
化学药,drug,小分子药物,
化药,drug,小分子药物,
原料药,drug,小分子药物,
仿制药,drug,小分子药物,
中药,drug,中药现代制剂,
中成药,drug,中药现代制剂,
单抗,drug,抗体技术,
抗体,drug,抗体技术,
偶联,drug,生物药-偶联药物,
ADC,drug,生物药-偶联药物,
小核酸,drug,生物药-核酸技术,
siRNA,drug,生物药-核酸技术,
mRNA,drug,生物药-核酸技术,
核酸药物,drug,生物药-核酸技术,
细胞治疗,drug,细胞与基因治疗 (CGT),
CAR-T,drug,细胞与基因治疗 (CGT),
干细胞,drug,细胞与基因治疗 (CGT),
免疫细胞,drug,细胞与基因治疗 (CGT),
基因治疗,drug,细胞与基因治疗 (CGT),
基因编辑,drug,细胞与基因治疗 (CGT),
核药,drug,放射性药物技术,
核素,drug,放射性药物技术,
放射性药物,drug,放射性药物技术,
多肽,drug,,
蛋白药物,drug,,
医疗器械,device,,
体外诊断,device,IVD-平台技术,
IVD,device,IVD-平台技术,
诊断试剂,device,IVD-平台技术,
影像设备,device,影像设备,
医学影像,device,影像设备,
植入,device,介入与植入,
介入,device,介入与植入,
手术机器人,device,手术系统与机器人,
医用耗材,device,医用材料与耗材,
医用材料,device,医用材料与耗材,
康复,device,康复与家用医疗,
监护,device,生命支持与重症监护,
制药装备,service,医药供应链上游配套,制药装备及耗材
医疗装备,service,医药供应链上游配套,制药装备及耗材
CRO,service,,
CDMO,service,,
检验检测,service,,
医学检验,service,,
第三方检验,service,,
注册申报,service,CRO-注册法规与申报,
临床试验服务,service,CRO-临床试验与运营,
洁净,service,医药供应链上游配套,洁净工程
阀门,service,医药供应链上游配套,制药装备及耗材
气体,service,医药供应链上游配套,医用及工业气体
工业气体,service,医药供应链上游配套,医用及工业气体
医用气体,service,医药供应链上游配套,医用及工业气体
制药装备部件,service,医药供应链上游配套,制药装备及耗材
公用工程,service,医药供应链上游配套,制药公用工程
冷链,service,医药流通与供应链,冷链物流
物流,service,医药流通与供应链,冷链物流
批发,service,医药流通与供应链,批发零售
零售,service,医药流通与供应链,批发零售
经销,service,医药流通与供应链,批发零售
进出口贸易,service,医药流通与供应链,进出口贸易
AI制药,ai,AI制药-分子层,
人工智能药物,ai,AI制药-分子层,
医疗AI,ai,临床AI与医疗大模型,
AI诊断,ai,临床AI与医疗大模型,
医疗大模型,ai,临床AI与医疗大模型,
生物信息,ai,多组学与生物信息,
合成生物,enabling,合成生物学,
类器官,enabling,类器官与器官芯片,
基因测序,enabling,组学技术,
测序,enabling,组学技术,
单细胞,enabling,单细胞技术,
组学,enabling,组学技术,
培养肉,enabling,食品应用,细胞培养肉
细胞培养肉,enabling,食品应用,细胞培养肉
食品科技,enabling,食品应用,
生物基材料,enabling,材料应用,生物基材料
医疗软件,digital,临床与患者应用,
医疗信息化,digital,医疗IT基础设施,
互联网医疗,digital,临床与患者应用,
数字疗法,digital,临床与患者应用,
医院管理,service,,
健康体检,service,,
门诊,service,,
医疗美容,service,,
园区,周边配套,
物业,周边配套,
投资管理,周边配套,
孵化器,周边配套,
保洁,周边配套,
绿化,周边配套,
停车,周边配套,
百货,周边配套,
餐饮,周边配套,
酒店,周边配套,
复杂制剂,drug,复杂制剂,
高端制剂,drug,复杂制剂,
复杂注射剂,drug,复杂制剂,复杂注射剂
脂质体,drug,复杂制剂,脂质体
微球,drug,复杂制剂,微球
纳米粒,drug,复杂制剂,纳米粒
缓释,drug,复杂制剂,长效缓释
药物递送,drug,药物递送技术,
递送系统,drug,药物递送技术,
LNP,drug,药物递送技术,LNP递送
纳米递送,drug,药物递送技术,纳米递送
靶向递送,drug,药物递送技术,靶向递送
试剂耗材,enabling,科研试剂耗材,
科研试剂,enabling,科研试剂耗材,
实验室耗材,enabling,科研试剂耗材,
科研仪器,enabling,科研仪器设备,
实验仪器,enabling,科研仪器设备,
